name,value
P,2.70732766299474e-09
D,0.009526596746519051
"min(P,D)",-0.009631592670941769
1_prefill_only,-0.10573675713508958
1_decode_only,-0.11213575287205853
R*P,8.949964982689503e-07
R*D,-0.025122253879902745
"R*min(P,D)",0.024624100666630615
R^2*P,-1.5781539718528688e-06
R^2*D,0.015452624056438328
"R^2*min(P,D)",-0.014710750596842046
bias,0.34964302497022154
