decode_kv_len,decode_qo_len,prefill_kv_len,prefill_qo_len,decode_time_ms,prefill_time_ms,sm_time
32768,2,0,0,0.267744,0.0,0.267744
49152,3,0,0,0.09344,0.0,0.09344
32768,2,256,256,0.160544,0.099968,0.26051199999999997
49152,3,256,256,0.189984,0.036896,0.22687999999999997
32768,2,512,512,0.211936,0.11168,0.323616
32768,2,0,0,0.268128,0.0,0.268128
49152,3,0,0,0.125664,0.0,0.125664
32768,2,256,256,0.164512,0.095968,0.26048
32768,2,512,512,0.212736,0.109664,0.3224
32768,2,0,0,0.283904,0.0,0.283904
24576,96,0,0,0.011552,0.0,0.011552
24832,97,0,0,0.009344,0.0,0.009344
24064,94,512,512,0.008768,0.060512,0.06928000000000001
24320,95,512,512,0.00928,0.054464,0.063744
24576,96,512,512,0.018208,0.020544,0.038751999999999995
23552,92,1024,1024,0.018816,0.073184,0.092
23808,93,1024,1024,0.02208,0.066464,0.088544
24064,94,1024,1024,0.022272,0.061536,0.083808
24576,96,0,0,0.013472,0.0,0.013472
24832,97,0,0,0.012384,0.0,0.012384
7168,28,0,0,0.010624,0.0,0.010624
7424,29,0,0,0.01616,0.0,0.01616
7680,30,0,0,0.0152,0.0,0.0152
6656,26,512,512,0.02144,0.031072,0.052512
6912,27,512,512,0.00864,0.075104,0.083744
7168,28,512,512,0.011872,0.053184,0.065056
7424,29,512,512,0.008896,0.046912,0.055808
6400,25,1024,1024,0.015744,0.095328,0.111072
6656,26,1024,1024,0.017792,0.08592,0.103712
6912,27,1024,1024,0.012992,0.076768,0.08976
24576,48,0,0,0.020224,0.0,0.020224
24064,47,512,512,0.01808,0.07344,0.09152
24576,48,512,512,0.017152,0.06608,0.083232
23552,46,1024,1024,0.02304,0.123168,0.146208
24064,47,1024,1024,0.01744,0.095712,0.113152
24576,48,1024,1024,0.023936,0.053536,0.077472
24576,48,0,0,0.018176,0.0,0.018176
24064,47,512,512,0.021888,0.071904,0.093792
24576,48,512,512,0.020576,0.0536,0.074176
23552,46,1024,1024,0.022016,0.111328,0.133344
16384,32,0,0,0.031936,0.0,0.031936
16896,33,0,0,0.019936,0.0,0.019936
17408,34,0,0,0.025152,0.0,0.025152
15872,31,512,512,0.021408,0.071936,0.093344
16384,32,512,512,0.02432,0.068256,0.09257599999999999
16896,33,512,512,0.018048,0.06384,0.08188799999999999
15360,30,1024,1024,0.020832,0.164128,0.18495999999999999
15872,31,1024,1024,0.029472,0.093696,0.123168
16384,32,1024,1024,0.040512,0.079776,0.120288
16384,32,0,0,0.028064,0.0,0.028064
24576,24,0,0,0.049888,0.0,0.049888
23552,23,512,512,0.047296,0.086336,0.133632
24576,24,512,512,0.031744,0.072544,0.10428799999999999
23552,23,1024,1024,0.042272,0.131744,0.174016
24576,24,1024,1024,0.076224,0.060192,0.136416
24576,24,0,0,0.061344,0.0,0.061344
23552,23,512,512,0.044192,0.079488,0.12368000000000001
24576,24,512,512,0.034912,0.071168,0.10608
23552,23,1024,1024,0.041728,0.13312,0.174848
24576,24,1024,1024,0.077312,0.061312,0.138624
6144,6,0,0,0.084064,0.0,0.084064
7168,7,0,0,0.035392,0.0,0.035392
8192,8,0,0,0.038272,0.0,0.038272
6144,6,512,512,0.04992,0.09616,0.14608
7168,7,512,512,0.034048,0.064992,0.09903999999999999
6144,6,1024,1024,0.0352,0.11472,0.14992
6144,6,0,0,0.08272,0.0,0.08272
7168,7,0,0,0.03152,0.0,0.03152
8192,8,0,0,0.0312,0.0,0.0312
6144,6,512,512,0.083008,0.000256,0.083264
24576,12,0,0,0.141344,0.0,0.141344
22528,11,512,512,0.127136,0.084832,0.211968
24576,12,512,512,0.072096,0.083936,0.156032
22528,11,1024,1024,0.147104,0.130368,0.27747200000000005
24576,12,1024,1024,0.08656,0.138304,0.224864
24576,12,0,0,0.138816,0.0,0.138816
22528,11,512,512,0.123776,0.10032,0.22409600000000002
24576,12,512,512,0.08432,0.082368,0.166688
22528,11,1024,1024,0.138144,0.13056,0.268704
24576,12,1024,1024,0.08512,0.1496,0.23472
16384,8,0,0,0.134464,0.0,0.134464
14336,7,512,512,0.147072,0.084448,0.23152
16384,8,512,512,0.088096,0.076416,0.164512
12288,6,1024,1024,0.170688,0.191904,0.362592
14336,7,1024,1024,0.117728,0.140992,0.25872
16384,8,1024,1024,0.139584,0.070176,0.20976
16384,8,0,0,0.131456,0.0,0.131456
14336,7,512,512,0.145568,0.081248,0.22681600000000002
16384,8,512,512,0.092576,0.07408,0.166656
12288,6,1024,1024,0.173184,0.193216,0.3664
24576,6,0,0,0.292224,0.0,0.292224
20480,5,512,512,0.249184,0.163072,0.41225599999999996
24576,6,512,512,0.241248,0.094304,0.33555199999999996
20480,5,1024,1024,0.347488,0.15184,0.499328
24576,6,1024,1024,0.2152,0.157504,0.37270400000000004
24576,6,0,0,0.300864,0.0,0.300864
20480,5,512,512,0.25216,0.156576,0.408736
24576,6,512,512,0.231936,0.090784,0.32272
20480,5,1024,1024,0.33952,0.156576,0.496096
24576,6,1024,1024,0.220512,0.15168,0.372192
16384,4,0,0,0.29168,0.0,0.29168
16384,4,512,512,0.226112,0.10128,0.327392
16384,4,1024,1024,0.22352,0.15584,0.37936000000000003
16384,4,0,0,0.289376,0.0,0.289376
16384,4,512,512,0.2368,0.095936,0.33273600000000003
16384,4,1024,1024,0.227808,0.149856,0.377664
16384,4,0,0,0.304928,0.0,0.304928
16384,4,512,512,0.246112,0.086528,0.33264
16384,4,1024,1024,0.338464,0.087104,0.425568
16384,4,0,0,0.29488,0.0,0.29488
16384,2,0,0,0.697024,0.0,0.697024
24576,3,0,0,0.395808,0.0,0.395808
32768,4,0,0,0.345536,0.0,0.345536
16384,2,512,512,0.715552,0.018144,0.733696
24576,3,512,512,0.393408,0.092544,0.485952
16384,2,1024,1024,0.602176,0.176192,0.7783680000000001
24576,3,0,0,0.368352,0.0,0.368352
32768,4,0,0,0.350656,0.0,0.350656
16384,2,512,512,0.715488,0.01824,0.733728
24576,3,512,512,0.412608,0.08816,0.500768
16384,2,0,0,0.474784,0.0,0.474784
24576,3,0,0,0.306304,0.0,0.306304
32768,4,0,0,0.36816,0.0,0.36816
40960,5,0,0,0.256896,0.0,0.256896
49152,6,0,0,0.150048,0.0,0.150048
16384,2,512,512,0.412704,0.108352,0.521056
24576,3,512,512,0.3912,0.092416,0.483616
32768,4,512,512,0.291936,0.096128,0.38806399999999996
40960,5,512,512,0.280608,0.030304,0.310912
16384,2,1024,1024,0.393088,0.147008,0.540096
32768,2,0,0,0.931904,0.0,0.931904
49152,3,0,0,0.654464,0.0,0.654464
65536,4,0,0,0.492128,0.0,0.492128
32768,2,512,512,0.877152,0.08416,0.961312
49152,3,512,512,0.750464,0.097216,0.84768
65536,4,512,512,0.510912,0.101216,0.612128
32768,2,1024,1024,0.815776,0.1368,0.952576
49152,3,1024,1024,0.789056,0.135008,0.924064
65536,4,1024,1024,0.688416,0.081568,0.769984
32768,2,0,0,0.855904,0.0,0.855904
32768,2,0,0,0.202336,0.0,0.202336
16384,1,512,512,0.10416,0.105408,0.209568
32768,2,512,512,0.095552,0.095072,0.19062400000000002
16384,1,1024,1024,0.098208,0.113344,0.21155200000000002
32768,2,1024,1024,0.11408,0.129824,0.243904
32768,2,0,0,0.19616,0.0,0.19616
16384,1,512,512,0.10416,0.105408,0.209568
32768,2,512,512,0.103968,0.094912,0.19888
16384,1,1024,1024,0.097632,0.11392,0.211552
32768,2,1024,1024,0.096736,0.146976,0.24371199999999998
24320,95,1024,1024,0.008352,0.088992,0.097344
24576,96,1024,1024,0.007744,0.085952,0.093696
24832,97,1024,1024,0.018528,0.039936,0.058464
25344,99,1024,1024,0.018304,0.00032,0.018624
23296,91,2048,2048,0.021024,0.113536,0.13456
23552,92,2048,2048,0.017728,0.120384,0.138112
23808,93,2048,2048,0.018624,0.120576,0.1392
24064,94,2048,2048,0.019104,0.090432,0.109536
24320,95,2048,2048,0.025824,0.062656,0.08848
24576,96,2048,2048,0.024416,0.083872,0.108288
14336,56,1024,1024,0.009696,0.088192,0.097888
14848,58,1024,1024,0.017568,0.047296,0.064864
15104,59,1024,1024,0.010592,0.018688,0.02928
13312,52,2048,2048,0.018976,0.132064,0.15103999999999998
13568,53,2048,2048,0.022048,0.12992,0.15196800000000002
13824,54,2048,2048,0.018752,0.111328,0.13008
14080,55,2048,2048,0.02,0.106304,0.126304
14336,56,2048,2048,0.019168,0.10656,0.125728
14592,57,2048,2048,0.012512,0.077152,0.089664
14848,58,2048,2048,0.01072,0.061024,0.071744
24576,48,1024,1024,0.023264,0.120192,0.143456
25088,49,1024,1024,0.023328,0.035776,0.059104000000000004
25600,50,1024,1024,0.03024,0.015552,0.045792
23552,46,2048,2048,0.044928,0.143712,0.18864
24064,47,2048,2048,0.035136,0.106368,0.14150400000000002
24576,48,2048,2048,0.019776,0.115552,0.135328
25088,49,2048,2048,0.021056,0.083296,0.104352
25600,50,2048,2048,0.027744,0.062432,0.090176
24576,48,1024,1024,0.027328,0.1136,0.140928
25088,49,1024,1024,0.027616,0.03456,0.062176
11776,23,1024,1024,0.045184,0.09984,0.145024
12288,24,1024,1024,0.02928,0.033632,0.062912
12800,25,1024,1024,0.028064,0.018816,0.04688
10240,20,2048,2048,0.03408,0.162176,0.19625599999999999
10752,21,2048,2048,0.03504,0.172256,0.20729599999999998
11264,22,2048,2048,0.03024,0.0984,0.12864
11776,23,2048,2048,0.030368,0.113472,0.14384
12288,24,2048,2048,0.027168,0.067872,0.09504
11776,23,1024,1024,0.042752,0.09792,0.140672
12800,25,1024,1024,0.027968,0.01888,0.046848
24576,24,1024,1024,0.046912,0.111456,0.158368
25600,25,1024,1024,0.05248,0.02448,0.07696
22528,22,2048,2048,0.073312,0.161984,0.235296
23552,23,2048,2048,0.048736,0.13584,0.184576
24576,24,2048,2048,0.048448,0.147744,0.19619199999999998
24576,24,1024,1024,0.046464,0.111488,0.157952
25600,25,1024,1024,0.06016,0.016736,0.07689599999999999
22528,22,2048,2048,0.070304,0.17232,0.242624
23552,23,2048,2048,0.064,0.136768,0.200768
24576,24,2048,2048,0.046016,0.157696,0.203712
5120,5,1024,1024,0.046432,0.1008,0.147232
6144,6,1024,1024,0.064992,0.0,0.064992
4096,4,2048,2048,0.045248,0.163904,0.209152
5120,5,2048,2048,0.05376,0.151296,0.20505600000000002
6144,6,2048,2048,0.059072,0.0832,0.142272
5120,5,1024,1024,0.046432,0.1008,0.147232
6144,6,1024,1024,0.05728,0.00032,0.0576
4096,4,2048,2048,0.050944,0.15856,0.20950400000000002
5120,5,2048,2048,0.048608,0.147392,0.196
6144,6,2048,2048,0.020928,0.102848,0.123776
22528,11,1024,1024,0.110272,0.130144,0.24041600000000002
24576,12,1024,1024,0.154304,0.019104,0.173408
20480,10,2048,2048,0.149216,0.22736,0.376576
22528,11,2048,2048,0.127904,0.212032,0.339936
24576,12,2048,2048,0.138368,0.144544,0.282912
22528,11,1024,1024,0.112928,0.130112,0.24304
24576,12,1024,1024,0.139456,0.006144,0.1456
20480,10,2048,2048,0.149152,0.226048,0.3752
22528,11,2048,2048,0.16048,0.119392,0.279872
24576,12,2048,2048,0.126656,0.128352,0.255008
6144,3,1024,1024,0.09664,0.0552,0.15184
8192,4,1024,1024,0.100736,0.011232,0.11196800000000001
4096,2,2048,2048,0.095168,0.160512,0.25568
6144,3,2048,2048,0.067104,0.119936,0.18703999999999998
8192,4,2048,2048,0.1056,0.07472,0.18031999999999998
6144,3,1024,1024,0.055168,0.117728,0.172896
8192,4,1024,1024,0.1008,0.011008,0.111808
4096,2,2048,2048,0.099104,0.158304,0.25740799999999997
6144,3,2048,2048,0.067072,0.119264,0.186336
8192,4,2048,2048,0.106624,0.07456,0.181184
20480,5,1024,1024,0.290656,0.12304,0.413696
24576,6,1024,1024,0.300992,0.024352,0.32534399999999997
20480,5,2048,2048,0.341632,0.116736,0.458368
24576,6,2048,2048,0.2736,0.171136,0.444736
20480,5,1024,1024,0.285184,0.11632,0.40150399999999997
24576,6,1024,1024,0.30912,0.031776,0.340896
20480,5,2048,2048,0.316928,0.116896,0.433824
24576,6,2048,2048,0.272576,0.173568,0.446144
20480,5,1024,1024,0.28944,0.117664,0.40710399999999997
24576,6,1024,1024,0.307136,0.026816,0.333952
8192,2,1024,1024,0.201056,0.01296,0.214016
8192,2,2048,2048,0.042816,0.199328,0.242144
12288,3,2048,2048,0.039744,0.172096,0.21184
16384,4,2048,2048,0.03408,0.142784,0.176864
20480,5,2048,2048,0.109504,0.101312,0.210816
24576,6,2048,2048,0.016224,0.103008,0.119232
8192,2,1024,1024,0.200992,0.01312,0.214112
8192,2,2048,2048,0.0912,0.189312,0.280512
12288,3,2048,2048,0.162496,0.116672,0.27916799999999997
16384,4,2048,2048,0.152704,0.12032,0.273024
24576,3,1024,1024,0.326336,0.123264,0.4496
32768,4,1024,1024,0.379776,0.00912,0.388896
16384,2,2048,2048,0.598656,0.204192,0.802848
24576,3,2048,2048,0.295168,0.184448,0.479616
32768,4,2048,2048,0.342944,0.111072,0.45401600000000003
24576,3,1024,1024,0.401184,0.11376,0.514944
32768,4,1024,1024,0.37952,0.009152,0.388672
16384,2,2048,2048,0.597056,0.203392,0.800448
24576,3,2048,2048,0.294752,0.184352,0.479104
32768,4,2048,2048,0.336256,0.117568,0.453824
8192,1,1024,1024,0.114048,0.113568,0.22761599999999999
16384,2,1024,1024,0.250528,0.024704,0.275232
0,0,2048,2048,0.0,0.232192,0.232192
8192,1,2048,2048,0.031104,0.244192,0.275296
16384,2,2048,2048,0.189024,0.180608,0.36963199999999996
8192,1,1024,1024,0.112448,0.111968,0.224416
16384,2,1024,1024,0.264704,0.05456,0.319264
0,0,2048,2048,0.0,0.232288,0.232288
8192,1,2048,2048,0.116608,0.180832,0.29744
16384,2,2048,2048,0.203776,0.160128,0.363904
32768,2,1024,1024,0.88032,0.010272,0.8905919999999999
32768,2,2048,2048,0.780704,0.193824,0.974528
49152,3,2048,2048,0.595904,0.153472,0.749376
65536,4,2048,2048,0.476544,0.221728,0.698272
32768,2,1024,1024,0.909952,0.041344,0.951296
32768,2,2048,2048,0.821632,0.140448,0.96208
49152,3,2048,2048,0.606912,0.13344,0.740352
65536,4,2048,2048,0.734208,0.127328,0.861536
32768,2,1024,1024,0.880832,0.01088,0.891712
32768,2,2048,2048,0.82144,0.123456,0.944896
16384,1,1024,1024,0.096,0.095808,0.191808
32768,2,1024,1024,0.232064,0.018624,0.250688
